idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
"2461118","2026-06-26 02:00:00","Round 3","Turkey","","USA","","https://r2.thesportsdb.com/images/media/event/poster/lq1joj1775110770.jpg","https://r2.thesportsdb.com/images/media/event/thumb/gtllwn1775058386.jpg"
"2391775","2026-06-26 19:00:00","Round 3","Norway","","France","","https://r2.thesportsdb.com/images/media/event/poster/bf1xbd1775110750.jpg","https://r2.thesportsdb.com/images/media/event/thumb/g2uph61775058364.jpg"
"2461119","2026-06-26 19:00:00","Round 3","Senegal","","Iraq","","https://r2.thesportsdb.com/images/media/event/poster/j1ooo61775110771.jpg","https://r2.thesportsdb.com/images/media/event/thumb/duwfkg1775058387.jpg"
"2391772","2026-06-27 00:00:00","Round 3","Cape Verde","","Saudi Arabia","","https://r2.thesportsdb.com/images/media/event/poster/u2vch71775110747.jpg","https://r2.thesportsdb.com/images/media/event/thumb/fchnmj1775058361.jpg"
"2391776","2026-06-27 00:00:00","Round 3","Uruguay","","Spain","","https://r2.thesportsdb.com/images/media/event/poster/o7h4rb1775110751.jpg","https://r2.thesportsdb.com/images/media/event/thumb/b2zc0v1775058365.jpg"
"2391773","2026-06-27 03:00:00","Round 3","Egypt","","Iran","","https://r2.thesportsdb.com/images/media/event/poster/1mjifv1775110748.jpg","https://r2.thesportsdb.com/images/media/event/thumb/yane951775058362.jpg"
"2391774","2026-06-27 03:00:00","Round 3","New Zealand","","Belgium","","https://r2.thesportsdb.com/images/media/event/poster/6q0gjw1775110749.jpg","https://r2.thesportsdb.com/images/media/event/thumb/162w8r1775058363.jpg"
"2391779","2026-06-27 21:00:00","Round 3","Croatia","","Ghana","","https://r2.thesportsdb.com/images/media/event/poster/lnb9q61775110754.jpg","https://r2.thesportsdb.com/images/media/event/thumb/fwxopf1775058368.jpg"
"2391781","2026-06-27 21:00:00","Round 3","Panama","","England","","https://r2.thesportsdb.com/images/media/event/poster/rachh91775110756.jpg","https://r2.thesportsdb.com/images/media/event/thumb/enrwox1775058370.jpg"
"2391778","2026-06-27 23:30:00","Round 3","Colombia","","Portugal","","https://r2.thesportsdb.com/images/media/event/poster/ptrqsi1775110753.jpg","https://r2.thesportsdb.com/images/media/event/thumb/u6lsyr1775058367.jpg"
"2461120","2026-06-27 23:30:00","Round 3","DR Congo","","Uzbekistan","","https://r2.thesportsdb.com/images/media/event/poster/2ujpfg1775110771.jpg","https://r2.thesportsdb.com/images/media/event/thumb/pibln91775058388.jpg"
"2391777","2026-06-28 02:00:00","Round 3","Algeria","","Austria","","https://r2.thesportsdb.com/images/media/event/poster/y7upr71775110752.jpg","https://r2.thesportsdb.com/images/media/event/thumb/5fca081775058366.jpg"
"2391780","2026-06-28 02:00:00","Round 3","Jordan","","Argentina","","https://r2.thesportsdb.com/images/media/event/poster/cvnz791775110755.jpg","https://r2.thesportsdb.com/images/media/event/thumb/aejlsx1775058369.jpg"
